      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_pavg_Prediction  I3D_pcomp_MAP_Prediction  I3D_ptarget_MAP_Prediction  I3D_pavg_MAP_Prediction  I3D_pcomp_w_Prediction  I3D_ptarget_w_Prediction  I3D_pavg_w_Prediction  I3D_pcomp_MAP_w_Prediction  I3D_ptarget_MAP_w_Prediction  I3D_pavg_MAP_w_Prediction
147   o6_t1_cs_d2   o6_t2_ap_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
148   o6_t1_cs_d2   o6_t2_ap_d2                     1                       0                    0                         1                           0                        0                       1                         0                      0                           1                             0                          0
149   o6_t1_cs_d2   o6_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
150   o6_t1_cs_d2   o6_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
151   o6_t1_cs_d2   o6_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
152   o6_t1_cs_d2   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
153   o6_t2_ap_d1   o6_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
154   o6_t2_ap_d1   o6_t2_mf_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
155   o6_t2_ap_d1   o6_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
156   o6_t2_ap_d1   o6_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
157   o6_t2_ap_d1   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
158   o6_t2_ap_d2   o6_t2_mf_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
159   o6_t2_ap_d2   o6_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
160   o6_t2_ap_d2   o6_t2_rp_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
161   o6_t2_ap_d2   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
162   o6_t2_mf_d1   o6_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
163   o6_t2_mf_d1   o6_t2_rp_d1                     0                       0                    0                         1                           0                        1                       1                         0                      1                           1                             0                          1
164   o6_t2_mf_d1   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
165   o6_t2_mf_d2   o6_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
166   o6_t2_mf_d2   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
167   o6_t2_rp_d1   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
168   o7_t1_cs_d1   o7_t1_cs_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
169   o7_t1_cs_d1   o7_t2_ap_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
170   o7_t1_cs_d1   o7_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
171   o7_t1_cs_d1   o7_t2_mf_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
172   o7_t1_cs_d1   o7_t2_mf_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
173   o7_t1_cs_d1   o7_t2_rp_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
174   o7_t1_cs_d1   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
175   o7_t1_cs_d2   o7_t2_ap_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
176   o7_t1_cs_d2   o7_t2_ap_d2                     1                       0                    0                         1                           0                        0                       1                         0                      0                           1                             0                          0
177   o7_t1_cs_d2   o7_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
178   o7_t1_cs_d2   o7_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
179   o7_t1_cs_d2   o7_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
180   o7_t1_cs_d2   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
